State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Karnataka,Bagalkot,"Bagalakot APMC",Sunflower,Sunflower,Local,06/01/2026,6731,6801,6788
Karnataka,Bagalkot,"Bagalakot APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,Local,06/01/2026,1896,2079,1928
Karnataka,Kalburgi,"Kalburgi APMC",Rice,Fine,Local,06/01/2026,4400,6300,5650
Karnataka,Kalburgi,"Kalburgi APMC",Soyabean,Soyabeen,Local,06/01/2026,3800,4800,4350
Karnataka,Kalburgi,"Kalburgi APMC",Brinjal,Brinjal,Local,06/01/2026,1000,2000,1500
Karnataka,Kalburgi,"Kalburgi APMC",Safflower,Safflower,Local,06/01/2026,7400,8800,8100
Karnataka,Kalburgi,"Kalburgi APMC",Papaya,Papaya,Local,06/01/2026,2000,3000,2500
Karnataka,Chitradurga,"Chitradurga APMC",Arecanut(Betelnut/Supari),Kempugotu,Local,06/01/2026,32200,32600,32400
Karnataka,Chitradurga,"Chitradurga APMC",Arecanut(Betelnut/Supari),Rashi,Local,06/01/2026,56929,57399,57179
Karnataka,Gadag,"Gadag APMC",Onion,Onion,Small,06/01/2026,200,1800,500
Karnataka,Kolar,"Bangarpet APMC",Onion,Onion,Local,06/01/2026,1000,2000,1500
Karnataka,Kolar,"Bangarpet APMC","Bitter gourd","Bitter Gourd",Local,06/01/2026,1700,2500,2300
Karnataka,Kolar,"Bangarpet APMC",Beans,"Beans (Whole)",Local,06/01/2026,2000,3000,2500
Karnataka,Bangalore,"Ramanagara APMC","Chilly Capsicum","Chilly Capsicum",Local,06/01/2026,4000,5000,4500
Karnataka,Bangalore,"Ramanagara APMC",Ginger(Green),"Green Ginger",Local,06/01/2026,4000,5000,4400
Karnataka,Bangalore,"Ramanagara APMC",Cabbage,Cabbage,Local,06/01/2026,1200,1600,1400
Karnataka,Bangalore,"Ramanagara APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,2400,3200,2800
Karnataka,Bangalore,"Ramanagara APMC",Raddish,Raddish,Local,06/01/2026,700,1200,1000
Karnataka,Bangalore,"Ramanagara APMC",Thogrikai,Thogarikai,Local,06/01/2026,3000,3500,3300
Karnataka,Shimoga,"Sagar APMC",Arecanut(Betelnut/Supari),Cqca,Local,06/01/2026,33099,35099,33214
Karnataka,Shimoga,"Sagar APMC",Arecanut(Betelnut/Supari),Sippegotu,Local,06/01/2026,22099,22099,22099
Karnataka,Tumkur,"Tumkur APMC",Rice,Other,Local,06/01/2026,3600,5800,4400
Karnataka,Tumkur,"Tumkur APMC","Kulthi(Horse Gram)","Horse gram (Whole)",Local,06/01/2026,3200,4200,3600
Karnataka,"Karwar(Uttar Kannad)","Kumta APMC",Coconut,Grade-I,Local,06/01/2026,38028,38028,38028
Karnataka,Chitradurga,"Holalkere APMC",Maize,Yellow,Local,06/01/2026,1800,1870,1847
